0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
3.8
3.9
4
4.1
4.2
4.3
4.4
4.5
4.6
13.8,-5.79365,1.44589,0.176862,-0.000102798,0.26453,0.427852,0.307618,-5.79365,1.44589,0.176862,-0.000102798
13.9,-5.77502,1.44978,0.176862,-0.000102798,0.265085,0.423502,0.311412,-5.77502,1.44978,0.176862,-0.000102798
14,-5.74982,1.44887,0.264436,-0.0145817,0.2625,0.430633,0.306867,-5.74982,1.44887,0.264436,-0.0145817
14.1,-5.73128,1.44796,0.264436,-0.0145817,0.260071,0.437191,0.302737,-5.73128,1.44796,0.264436,-0.0145817
14.2,-5.6973,1.43953,0.176647,-0.00552158,0.261324,0.432288,0.306388,-5.6973,1.43953,0.176647,-0.00552158
14.3,-5.68267,1.43761,0.176647,-0.00552158,0.262491,0.427894,0.309615,-5.68267,1.43761,0.176647,-0.00552158
14.4,-5.68106,1.43581,0.176647,-0.00552158,0.263551,0.423928,0.312521,-5.68106,1.43581,0.176647,-0.00552158
14.5,-5.64079,1.4404,0.263118,-0.00658357,0.261285,0.430233,0.308482,-5.64079,1.4404,0.263118,-0.00658357
14.6,-5.62722,1.44149,0.263118,-0.00658357,0.259147,0.436233,0.30462,-5.62722,1.44149,0.263118,-0.00658357
14.7,-5.60719,1.44763,0.187569,-0.00558726,0.260049,0.433372,0.306579,-5.60719,1.44763,0.187569,-0.00558726
14.8,-5.56916,1.44323,0.189801,-0.00454745,0.260875,0.431061,0.308064,-5.56916,1.44323,0.189801,-0.00454745
14.9,-5.56531,1.43992,0.189801,-0.00454745,0.261679,0.428896,0.309425,-5.56531,1.43992,0.189801,-0.00454745
